Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4pbyDPjFgfPqFTcIMC8xpK,"Rock DJ","Sing When You're Winning","Robbie Williams",2000-01-01,258560,74,false,adriankito200,2022-11-12T20:29:01Z,"","Chrysalis UK",0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,4
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,90,false,adriankito200,2022-11-12T20:31:55Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:6BL4PpswVjH9BAajbIbpmZ,"Tomorrow Comes Today","Gorillaz","Gorillaz",2001-03-26,193600,62,false,adriankito200,2022-11-12T20:30:13Z,"","Parlophone UK",0.751,0.596,6,-4.594,1,0.0301,0.0071,0.589,0.103,0.57,93.213,4
spotify:track:1fr92Vupmcs2vgLMFVQ7rd,"In the Shadows","Dead Letters","The Rasmus",2003-03-24,257920,77,false,adriankito200,2022-11-12T20:30:47Z,"finnish rock","Playground Music",0.6,0.796,2,-4.481,1,0.0275,0.000109,0.000052,0.484,0.75,105.991,4
spotify:track:2QhURnm7mQDxBb5jWkbDug,"Don't Panic","Parachutes","Coldplay",2000-07-10,136866,73,false,adriankito200,2022-11-12T20:32:43Z,"","Parlophone UK",0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,4
spotify:track:5cjaDxaXyRlxGgGjRlte7m,"Daydream In Blue","Neveroddoreven","I Monster",2005-01-27,223666,68,false,adriankito200,2022-11-12T20:33:21Z,"","Instant Karma",0.547,0.508,5,-6.301,0,0.0273,0.0151,0.00116,0.116,0.382,153.822,4
spotify:track:6ijZd8tYWt76hLXxaXBXUj,"Blueside","Rooney","Rooney",2003-05-20,196706,39,false,adriankito200,2022-11-12T20:34:22Z,"","Geffen",0.397,0.91,11,-2.578,1,0.04,0.0431,0.00000521,0.386,0.398,140.255,4
spotify:track:1MJqPD36uC9lUOc0rhbxzr,"Clint Eastwood","Clint Eastwood","Gorillaz,Del The Funky Homosapien",2001,357560,46,true,adriankito200,2022-11-12T20:34:32Z,"","Parlophone UK",0.663,0.708,10,-8.088,0,0.171,0.0276,0,0.0383,0.509,167.964,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,85,false,adriankito200,2022-11-12T20:35:08Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,81,false,adriankito200,2022-11-12T20:35:44Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
