Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1QV6tiMFM6fSOKOGLMHYYg,"Poker Face","The Fame","Lady Gaga",2008-01-01,237200,89,true,204029,2019-02-24T13:55:24Z,"art pop,pop","Streamline/Interscope",0.851,0.806,4,-4.618,1,0.0787,0.119,0.00000172,0.121,0.774,119.001,4
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,"TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,87,false,204029,2019-02-24T13:55:48Z,"","RCA Records Label",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
spotify:track:3hlksXnvbKogFdPbpO9vel,"Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,82,true,204029,2022-07-10T11:42:30Z,"","Nicki Minaj/Cash Money",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
spotify:track:3avYqdwHKEq8beXbeWCKqJ,"Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,81,false,204029,2022-07-10T11:42:10Z,"pop","Capitol Records",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
spotify:track:1qk9ujVgudgU8CyhKOx8ji,"Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244893,67,false,204029,2019-02-24T13:56:34Z,"","Universal Music Australia Pty. Ltd.",0.864,0.515,0,-6.967,1,0.0367,0.571,0.0000792,0.0947,0.755,129.048,4
spotify:track:1CmUZGtH29Kx36C1Hleqlz,"Thrift Shop (feat. Wanz)","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz",2013-01-14,235613,68,true,204029,2019-02-24T13:57:06Z,"g-funk","Macklemore",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
spotify:track:2ygMBIctKIAfbEBcT9065L,"Pump It","Monkey Business","Black Eyed Peas",2005-01-01,213066,83,true,204029,2022-08-05T14:25:49Z,"","Interscope",0.648,0.931,1,-3.15,0,0.181,0.00937,0,0.752,0.744,153.649,4
spotify:track:6NPVjNh8Jhru9xOmyQigds,"Happy","Despicable Me 2 (Original Motion Picture Soundtrack)","Pharrell Williams",2013-06-18,233305,9,false,204029,2019-02-24T13:57:20Z,"","Back Lot Music",0.652,0.757,1,-6.819,1,0.153,0.286,0,0.0886,0.962,159.911,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,"Wake Me Up","True","Avicii",2013-01-01,247426,89,false,204029,2022-07-10T11:42:44Z,"edm","Universal Music AB",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,88,false,204029,2019-02-24T13:57:31Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
spotify:track:50kpGaPAhYJ3sGmk6vplg0,"Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,87,false,204029,2019-02-24T13:59:16Z,"","RBMG/Def Jam",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.43,4
spotify:track:2JzZzZUQj3Qff7wapcbKjc,"See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",2015,229525,84,false,204029,2022-07-11T11:59:13Z,"rap,soft pop,pop","Atlantic Records",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,"Feel This Moment (feat. Christina Aguilera)","Global Warming: Meltdown (Deluxe Version)","Pitbull,Christina Aguilera",2012,229506,85,false,204029,2022-07-10T11:42:53Z,"","Mr.305/Polo Grounds Music/RCA Records",0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,4
spotify:track:6rPO02ozF3bM7NnOV4h6s2,"Despacito - Remix","Despacito Feat. Justin Bieber (Remix)","Luis Fonsi,Daddy Yankee,Justin Bieber",2017-04-17,228826,74,false,204029,2019-02-24T13:59:26Z,"latin,reggaeton","Republic/UMLE",0.653,0.816,2,-4.353,1,0.167,0.228,0,0.0967,0.816,178.085,4
spotify:track:6hI81y67DVMorZhXVL62mp,"Pumped Up Kicks","2010s Hits","Foster The People",2018-04-27,238046,0,false,204029,2019-02-24T14:13:23Z,"","Sony Music CG",0.752,0.644,5,-6.903,0,0.0293,0.18,0.157,0.0883,0.946,128.145,4
spotify:track:1Eck97uRMlprKOOJN9oO1E,"Good Life (with G-Eazy & Kehlani)","Good Life (with G-Eazy & Kehlani)","G-Eazy,Kehlani",2017-03-16,225525,60,false,204029,2019-02-24T21:33:56Z,"","Artist Partner",0.565,0.771,1,-5.22,1,0.213,0.00464,0,0.0568,0.573,168.385,4
spotify:track:7eBqSVxrzQZtK2mmgRG6lC,"Murder on My Mind","I AM YOU","YNW Melly",2018-08-03,268434,81,true,204029,2019-02-27T22:21:18Z,"melodic rap","P2018",0.759,0.73,0,-7.985,0,0.0516,0.145,0.00000306,0.11,0.74,115.007,4
